id,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,last_review
14322,56284,Manhattan,Kips Bay,Entire home/apt,200,7.0,19,0.22,257,2019-03-25
14377,56512,Brooklyn,Williamsburg,Entire home/apt,150,30.0,105,0.9,30,2019-06-22
14991,59023,Manhattan,Lower East Side,Private room,110,5.0,19,0.17,301,2019-05-18
15220,59734,Manhattan,Hell's Kitchen,Private room,69,2.0,289,2.49,294,2019-06-09
15338,32169,Brooklyn,Greenpoint,Private room,49,4.0,138,1.19,320,2019-06-04
15341,60049,Manhattan,SoHo,Entire home/apt,180,30.0,21,0.3,154,2019-06-29
15385,60252,Brooklyn,Williamsburg,Private room,80,2.0,42,0.38,263,2019-06-30
15396,60278,Manhattan,Chelsea,Entire home/apt,375,45.0,5,0.12,180,2018-11-03
15711,61491,Manhattan,Upper East Side,Entire home/apt,250,2.0,66,0.57,231,2019-03-30
16326,63588,Brooklyn,Prospect Heights,Entire home/apt,200,30.0,143,1.33,297,2019-01-26
16338,63613,Brooklyn,Clinton Hill,Private room,55,7.0,27,0.23,292,2017-09-30
16421,63924,Manhattan,Hell's Kitchen,Private room,52,30.0,191,1.65,191,2019-05-16
16458,64056,Brooklyn,Park Slope,Entire home/apt,225,3.0,4,0.16,0,2017-09-24
16580,64442,Manhattan,East Village,Private room,80,1.0,338,4.72,72,2019-07-01
16595,64522,Brooklyn,Williamsburg,Entire home/apt,275,1.0,148,1.4,362,2019-06-23
16821,4396,Manhattan,East Village,Private room,99,1.0,106,1.26,336,2019-06-21
16974,65837,Manhattan,East Harlem,Entire home/apt,225,4.0,190,1.64,215,2019-06-23
17037,66035,Manhattan,East Village,Entire home/apt,230,9.0,49,0.43,116,2018-05-14
17092,66243,Manhattan,Hell's Kitchen,Private room,51,7.0,23,0.43,88,2019-06-01
17693,68428,Manhattan,Washington Heights,Private room,65,2.0,49,1.6,336,2019-06-18
17747,68599,Brooklyn,Clinton Hill,Private room,105,2.0,105,0.92,304,2019-06-26
18127,69829,Manhattan,East Village,Entire home/apt,190,5.0,21,0.2,224,2019-01-02
18152,69942,Manhattan,Upper East Side,Private room,200,1.0,142,1.5,322,2019-07-06
18198,70091,Queens,Woodside,Private room,70,30.0,25,0.22,324,2019-05-31
18590,71512,Brooklyn,Fort Greene,Private room,95,3.0,143,1.28,132,2019-06-16
18728,71876,Manhattan,Chelsea,Private room,150,3.0,167,1.65,295,2019-05-28
18764,72014,Brooklyn,Williamsburg,Private room,145,3.0,61,0.54,238,2019-04-22
19159,73051,Manhattan,Harlem,Entire home/apt,110,31.0,54,0.49,209,2019-03-23
19169,73128,Manhattan,Lower East Side,Entire home/apt,285,5.0,70,0.62,328,2019-06-30
19282,73469,Brooklyn,Flatbush,Entire home/apt,130,6.0,16,0.15,38,2019-06-15
19319,44263,Manhattan,Lower East Side,Private room,94,30.0,94,0.84,188,2019-04-08
19601,74303,Brooklyn,Brooklyn Heights,Entire home/apt,800,1.0,25,0.24,7,2016-08-04
19812,74857,Brooklyn,Williamsburg,Entire home/apt,105,3.0,61,0.53,272,2018-08-09
20299,62407,Manhattan,East Village,Private room,60,3.0,194,1.73,26,2019-06-30
20300,76627,Manhattan,East Village,Private room,50,1.0,2,0.05,0,2016-02-14
20611,72014,Brooklyn,Williamsburg,Private room,85,3.0,174,1.54,288,2019-06-22
20724,961342,Brooklyn,Bushwick,Private room,65,4.0,24,0.28,317,2019-05-26
20734,78460,Brooklyn,Prospect Heights,Entire home/apt,131,4.0,166,3.4,207,2019-06-27
20755,51038,Brooklyn,Clinton Hill,Private room,98,7.0,16,0.2,185,2019-05-31
20853,79070,Brooklyn,Prospect Heights,Entire home/apt,250,7.0,21,0.3,158,2019-05-21
20913,79402,Brooklyn,Williamsburg,Entire home/apt,100,5.0,168,1.57,0,2018-07-22
21293,44145,Brooklyn,Bushwick,Entire home/apt,105,3.0,118,1.05,9,2019-06-18
21456,42032,Manhattan,Upper West Side,Entire home/apt,140,3.0,81,0.71,198,2019-07-07
21644,82685,Manhattan,Harlem,Private room,89,1.0,1,0.11,365,2018-10-09
21794,83257,Manhattan,Chelsea,Private room,98,30.0,30,0.27,364,2019-05-01
22911,87773,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,7.0,139,1.23,311,2018-10-28
22918,32294,Manhattan,Harlem,Private room,60,3.0,11,0.87,219,2019-01-03
23135,11481,Brooklyn,Carroll Gardens,Entire home/apt,175,2.0,233,2.09,342,2019-06-24
23501,63318,Manhattan,Washington Heights,Private room,65,2.0,68,0.6,312,2012-11-01
23686,93790,Manhattan,West Village,Entire home/apt,500,4.0,46,0.55,243,2019-05-18
24143,97219,Brooklyn,Williamsburg,Private room,101,3.0,335,3.02,152,2019-05-29
24285,97797,Brooklyn,Park Slope,Entire home/apt,220,30.0,88,0.79,9,2018-11-02
25235,87773,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,45.0,162,1.46,137,2019-06-28
25406,105538,Brooklyn,Williamsburg,Entire home/apt,80,30.0,29,0.4,222,2018-05-26
25696,107628,Manhattan,Harlem,Private room,100,2.0,170,1.61,346,2019-06-23
26012,109589,Brooklyn,Gowanus,Entire home/apt,200,30.0,19,0.2,208,2017-03-17
26362,59734,Manhattan,Hell's Kitchen,Private room,59,2.0,334,3.0,279,2019-06-16
26520,51038,Brooklyn,Clinton Hill,Private room,125,2.0,19,0.2,250,2019-06-02
26559,112793,Manhattan,East Village,Entire home/apt,140,7.0,12,0.13,164,2017-12-11
26785,42273,Brooklyn,South Slope,Entire home/apt,120,30.0,467,4.22,192,2018-12-30
26933,72062,Manhattan,East Village,Entire home/apt,350,2.0,7,0.06,298,2017-08-09
26954,115157,Manhattan,Kips Bay,Entire home/apt,199,5.0,38,0.38,260,2015-12-02
26969,115307,Brooklyn,Williamsburg,Entire home/apt,325,3.0,324,3.01,107,2019-06-23
27006,115560,Manhattan,Upper West Side,Entire home/apt,235,6.0,27,0.27,199,2019-04-27
27385,72062,Manhattan,East Village,Entire home/apt,225,1.0,115,1.05,299,2019-06-07
27531,118971,Brooklyn,South Slope,Private room,99,2.0,354,3.2,20,2019-05-20
27644,119510,Manhattan,Harlem,Entire home/apt,170,2.0,195,2.03,318,2019-07-01
27659,119588,Brooklyn,South Slope,Entire home/apt,400,2.0,16,0.24,216,2018-12-30
27759,119900,Manhattan,Upper West Side,Entire home/apt,170,7.0,13,0.12,224,2019-06-26
27883,120223,Manhattan,East Village,Entire home/apt,100,4.0,25,0.23,0,2011-12-10
28321,65091,Brooklyn,Prospect-Lefferts Gardens,Private room,75,2.0,9,0.08,324,2018-10-05
28396,6197784,Brooklyn,Williamsburg,Private room,90,1.0,9,0.08,245,2011-09-18
28907,124352,Manhattan,Upper East Side,Entire home/apt,150,5.0,21,0.19,189,2017-08-15
29012,124797,Manhattan,Washington Heights,Private room,85,15.0,36,0.33,307,2017-08-17
29013,35935,Brooklyn,Bedford-Stuyvesant,Private room,70,3.0,63,0.58,310,2019-05-14
29455,126607,Manhattan,Harlem,Entire home/apt,120,3.0,155,1.42,213,2019-06-20
29628,127608,Brooklyn,Clinton Hill,Private room,89,3.0,260,2.35,278,2019-07-03
29683,125857,Manhattan,East Village,Entire home/apt,185,5.0,73,0.66,209,2019-06-25
30031,129352,Brooklyn,Greenpoint,Private room,50,3.0,193,1.86,0,2019-05-20
30927,120335,Manhattan,Lower East Side,Entire home/apt,105,3.0,32,0.29,16,2019-06-14
31130,117287,Manhattan,Hell's Kitchen,Private room,130,2.0,50,0.45,234,2019-05-26
31555,135619,Manhattan,West Village,Entire home/apt,115,29.0,26,0.25,12,2019-07-01
31902,137292,Brooklyn,Flatlands,Private room,77,2.0,2,0.02,178,2019-01-01
31994,137814,Brooklyn,Clinton Hill,Private room,76,2.0,426,3.89,275,2019-06-24
32023,137974,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3.0,227,2.09,163,2019-06-23
32037,116599,Brooklyn,Clinton Hill,Private room,135,4.0,84,0.77,365,2019-07-01
32100,138579,Brooklyn,Greenpoint,Entire home/apt,250,29.0,3,0.03,34,2017-07-30
32289,139612,Brooklyn,Williamsburg,Entire home/apt,199,3.0,10,0.1,280,2018-06-11
32331,139874,Brooklyn,Cobble Hill,Entire home/apt,140,2.0,4,0.04,0,2016-04-24
32363,140025,Queens,Flushing,Private room,140,2.0,1,0.01,1,2011-09-19
32965,137974,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3.0,124,1.72,170,2019-06-20
32969,142833,Brooklyn,Williamsburg,Entire home/apt,160,3.0,11,0.11,188,2019-07-02
33009,143027,Brooklyn,Williamsburg,Entire home/apt,195,4.0,240,2.19,214,2019-06-17
33014,143048,Manhattan,East Village,Entire home/apt,195,3.0,30,0.28,248,2019-06-17
33223,72014,Brooklyn,Williamsburg,Private room,80,3.0,200,1.86,262,2019-06-22
34760,149929,Brooklyn,Fort Greene,Private room,44,8.0,27,1.05,280,2019-06-29
35526,120291,Manhattan,West Village,Private room,156,4.0,79,0.74,307,2019-06-22
36121,62165,Brooklyn,Prospect Heights,Private room,85,15.0,9,0.09,339,2013-05-10
36133,142684,Brooklyn,Williamsburg,Private room,125,3.0,155,1.61,1,2019-06-13
36442,137432,Brooklyn,Prospect Heights,Entire home/apt,115,15.0,4,0.05,269,2018-08-27
36647,157798,Manhattan,East Harlem,Private room,69,2.0,34,0.32,10,2017-05-29
36703,158284,Manhattan,West Village,Entire home/apt,225,45.0,134,1.24,312,2019-03-31
36934,159370,Brooklyn,Williamsburg,Entire home/apt,125,6.0,27,0.25,189,2018-12-27
38638,92788,Manhattan,Upper East Side,Entire home/apt,219,4.0,126,1.16,290,2019-06-26
38663,165789,Brooklyn,Boerum Hill,Entire home/apt,475,3.0,23,0.27,230,2018-12-31
39267,168417,Manhattan,Upper East Side,Entire home/apt,99,1.0,234,2.6,164,2019-06-08
39282,168525,Brooklyn,Williamsburg,Private room,69,4.0,202,1.86,53,2019-05-28
39593,110506,Queens,Sunnyside,Private room,79,30.0,28,0.26,126,2019-04-12
39704,170510,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2.0,309,2.86,3,2019-06-22
40039,171851,Brooklyn,DUMBO,Private room,250,3.0,14,0.13,189,2011-04-25
40453,174025,Manhattan,Upper East Side,Entire home/apt,250,3.0,4,0.08,365,2016-09-23
41348,180083,Brooklyn,Gowanus,Entire home/apt,250,2.0,80,2.17,0,2019-07-06
41513,181167,Manhattan,Harlem,Entire home/apt,80,3.0,2,0.04,0,2015-11-02
42580,137814,Brooklyn,Clinton Hill,Private room,70,2.0,294,3.47,336,2019-06-24
42729,11481,Brooklyn,Carroll Gardens,Entire home/apt,165,2.0,150,1.4,342,2019-06-18
42882,185978,Staten Island,St. George,Private room,70,2.0,166,1.66,312,2019-06-13
43957,177536,Brooklyn,Bushwick,Private room,50,2.0,47,0.94,37,2019-06-19
44096,190409,Bronx,Highbridge,Private room,40,1.0,219,2.04,353,2019-07-04
44161,193360,Brooklyn,Williamsburg,Entire home/apt,150,2.0,193,1.78,177,2016-07-06
44212,72062,Manhattan,East Village,Private room,125,1.0,84,0.78,310,2019-06-23
44221,193722,Manhattan,Financial District,Entire home/apt,196,3.0,114,1.06,0,2019-06-20
44229,181376,Brooklyn,Fort Greene,Private room,110,2.0,213,2.0,321,2019-06-24
44288,193637,Manhattan,West Village,Entire home/apt,170,3.0,86,0.8,246,2019-06-01
44506,126607,Manhattan,Harlem,Entire home/apt,165,3.0,80,0.75,231,2019-05-26
45393,201297,Manhattan,West Village,Entire home/apt,150,26.0,38,0.36,225,2016-04-20
45542,202249,Manhattan,Harlem,Entire home/apt,100,2.0,18,1.79,0,2018-12-17
45556,67778,Brooklyn,Fort Greene,Private room,65,2.0,206,1.92,0,2019-06-30
45910,204539,Queens,Ridgewood,Entire home/apt,350,8.0,10,0.11,365,2019-05-12
45936,867225,Manhattan,Morningside Heights,Private room,99,4.0,122,1.18,233,2019-05-14
45940,204724,Brooklyn,Williamsburg,Entire home/apt,200,4.0,33,0.58,1,2019-04-08
46544,8198,Brooklyn,Park Slope,Entire home/apt,150,5.0,52,0.5,18,2019-06-05
46723,209460,Brooklyn,Bedford-Stuyvesant,Private room,90,3.0,126,1.17,343,2019-05-19
46911,210746,Brooklyn,Prospect Heights,Private room,120,3.0,51,0.48,250,2019-06-24
47199,212722,Manhattan,Upper East Side,Private room,75,3.0,199,1.85,326,2019-06-24
47362,214148,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,26.0,30,0.29,364,2012-09-03
47370,214287,Manhattan,Chelsea,Entire home/apt,125,3.0,3,0.03,0,2015-07-17
47926,218404,Manhattan,Hell's Kitchen,Entire home/apt,275,1.0,41,0.38,299,2019-06-26
48719,221873,Manhattan,Lower East Side,Entire home/apt,299,2.0,109,1.04,207,2019-06-15
50447,9744,Brooklyn,South Slope,Entire home/apt,135,5.0,151,1.43,162,2019-06-22
51438,236421,Manhattan,Upper East Side,Private room,130,14.0,0,0.0,0,
51485,236655,Manhattan,Lower East Side,Private room,83,1.0,285,2.69,7,2019-06-22
51572,237329,Manhattan,Chelsea,Private room,123,1.0,375,3.52,328,2019-06-18
51850,27848,Queens,Jamaica,Private room,55,2.0,52,0.49,365,2019-05-20
53137,240360,Manhattan,Hell's Kitchen,Entire home/apt,195,5.0,10,1.01,0,2019-07-01
53196,247432,Brooklyn,Bedford-Stuyvesant,Private room,80,2.0,11,0.48,0,2017-11-13
53469,204539,Queens,Middle Village,Entire home/apt,98,30.0,33,0.31,240,2015-05-09
53470,204539,Queens,Ridgewood,Private room,140,7.0,6,0.06,365,2015-10-08
53477,204539,Queens,Middle Village,Entire home/apt,265,7.0,38,0.38,365,2019-04-27
54158,10889,Brooklyn,Williamsburg,Entire home/apt,249,2.0,358,3.44,164,2019-06-20
54453,255583,Manhattan,Hell's Kitchen,Shared room,105,6.0,10,0.09,363,2014-01-07
54466,253385,Manhattan,Harlem,Private room,200,30.0,0,0.0,365,
54508,210746,Brooklyn,Prospect Heights,Private room,100,2.0,226,2.12,250,2019-06-06
54544,256161,Manhattan,Harlem,Entire home/apt,121,1.0,104,1.0,247,2019-06-22
54626,190409,Bronx,Highbridge,Private room,45,1.0,138,1.45,323,2019-06-30
54860,258164,Manhattan,East Harlem,Private room,100,5.0,204,1.92,192,2019-06-23
55467,260709,Brooklyn,Williamsburg,Entire home/apt,140,2.0,253,3.04,125,2019-07-02
55498,262138,Brooklyn,Bedford-Stuyvesant,Private room,71,2.0,23,0.22,91,2019-07-01
55668,88209,Manhattan,NoHo,Private room,130,2.0,115,1.17,75,2018-12-05
55737,263414,Manhattan,West Village,Entire home/apt,199,5.0,129,1.22,286,2019-05-19
55959,168525,Brooklyn,Williamsburg,Private room,69,4.0,82,1.13,60,2019-06-10
55982,264928,Brooklyn,Fort Greene,Private room,68,3.0,37,0.35,0,2018-12-31
56467,267593,Manhattan,East Village,Entire home/apt,130,1.0,204,2.04,192,2019-07-01
56525,268014,Brooklyn,Greenpoint,Entire home/apt,195,2.0,69,0.65,58,2019-06-13
56859,256161,Manhattan,Harlem,Private room,64,1.0,192,1.84,245,2019-06-03
57166,272006,Queens,Ditmars Steinway,Entire home/apt,140,2.0,17,0.16,292,2019-06-17
57297,199392,Brooklyn,Cobble Hill,Entire home/apt,159,2.0,222,2.12,279,2019-06-24
57468,239208,Manhattan,East Village,Entire home/apt,189,3.0,205,1.96,0,2019-06-23
57618,274557,Manhattan,Hell's Kitchen,Entire home/apt,250,3.0,94,0.96,3,2019-06-09
57740,275459,Manhattan,East Village,Entire home/apt,239,3.0,7,0.07,351,2019-05-24
57754,275578,Manhattan,Flatiron District,Entire home/apt,305,2.0,108,1.09,201,2019-06-30
57874,276291,Manhattan,Harlem,Entire home/apt,155,3.0,222,2.1,232,2019-06-26
58059,277379,Manhattan,Harlem,Private room,60,1.0,458,4.58,258,2019-07-03
58062,277394,Brooklyn,Windsor Terrace,Private room,135,2.0,21,0.26,272,2019-05-17
58467,279797,Manhattan,Roosevelt Island,Private room,120,7.0,17,0.3,341,2019-05-08
59014,282927,Manhattan,Lower East Side,Entire home/apt,150,3.0,41,0.39,244,2019-01-02
59121,204539,Queens,Ridgewood,Entire home/apt,140,14.0,1,0.01,365,2012-09-17
59642,274782,Brooklyn,Greenpoint,Entire home/apt,135,2.0,69,0.67,12,2019-05-19
59709,186084,Manhattan,Chinatown,Entire home/apt,250,4.0,18,0.18,265,2019-07-01
59855,288031,Manhattan,Midtown,Entire home/apt,250,30.0,82,0.78,0,2016-01-05
60164,289653,Manhattan,SoHo,Entire home/apt,500,4.0,94,0.99,329,2019-06-23
60457,99212,Manhattan,Greenwich Village,Entire home/apt,225,5.0,10,0.1,91,2019-05-11
60611,292204,Manhattan,East Harlem,Entire home/apt,125,28.0,183,1.83,365,2018-09-29
60666,256161,Manhattan,Harlem,Private room,92,1.0,189,1.82,253,2019-06-11
60673,249372,Manhattan,Harlem,Private room,175,2.0,1,0.11,365,2018-10-07
60680,292630,Manhattan,East Village,Entire home/apt,99,2.0,127,1.22,320,2019-06-20
60794,293394,Manhattan,Upper West Side,Entire home/apt,195,4.0,4,0.04,0,2017-08-25
60948,126607,Manhattan,East Harlem,Entire home/apt,140,3.0,135,1.3,192,2019-06-20
61167,295760,Manhattan,Little Italy,Entire home/apt,135,2.0,21,0.2,0,2015-12-12
61224,291112,Manhattan,Chelsea,Entire home/apt,500,2.0,35,0.34,348,2017-07-27
61406,297176,Manhattan,Harlem,Private room,80,14.0,10,2.21,0,2019-06-01
61492,297769,Manhattan,Chinatown,Private room,120,4.0,171,1.8,353,2019-06-23
61509,23619,Manhattan,Midtown,Entire home/apt,110,45.0,92,0.9,140,2019-04-30
62095,281764,Brooklyn,East Flatbush,Entire home/apt,65,3.0,238,2.3,2,2019-06-14
62427,303882,Manhattan,East Village,Entire home/apt,130,45.0,56,0.58,56,2019-05-26
62430,197755,Brooklyn,Bushwick,Entire home/apt,99,3.0,111,2.13,68,2019-06-22
62452,303939,Staten Island,Tompkinsville,Private room,36,2.0,193,1.85,360,2019-06-25
62461,303939,Staten Island,Tompkinsville,Private room,37,2.0,147,1.44,0,2019-06-10
62787,303939,Staten Island,Tompkinsville,Private room,37,2.0,177,1.71,320,2019-07-02
62891,306545,Manhattan,East Village,Entire home/apt,175,3.0,185,1.78,326,2019-05-24
62903,306605,Manhattan,Chelsea,Entire home/apt,205,9.0,62,0.7,76,2019-06-21
62925,306739,Brooklyn,Greenpoint,Entire home/apt,285,3.0,124,1.22,279,2019-06-16
63299,308875,Brooklyn,Williamsburg,Private room,59,2.0,181,1.77,15,2019-06-23
63320,303939,Staten Island,Tompkinsville,Private room,36,2.0,333,3.19,340,2019-07-02
63360,307962,Queens,Astoria,Entire home/apt,99,5.0,441,4.5,226,2019-06-24
63546,308652,Brooklyn,Kensington,Private room,39,1.0,45,0.46,365,2019-05-16
63573,310458,Brooklyn,Park Slope,Private room,60,14.0,9,0.09,0,2016-08-29
63588,295128,Bronx,Clason Point,Private room,90,2.0,0,0.0,349,
63610,310670,Bronx,Eastchester,Entire home/apt,105,2.0,38,0.5,365,2019-06-27
63657,170510,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2.0,248,2.39,11,2019-06-25
63693,306545,Manhattan,East Village,Entire home/apt,390,5.0,143,1.38,316,2019-06-19
63719,311286,Brooklyn,Bedford-Stuyvesant,Private room,70,3.0,36,0.41,281,2018-08-19
63913,312288,Manhattan,Inwood,Private room,75,7.0,0,0.0,323,
64000,312722,Brooklyn,Williamsburg,Private room,60,17.0,14,0.14,362,2019-01-07
64015,146944,Manhattan,East Village,Entire home/apt,200,3.0,0,0.0,0,
64107,313317,Brooklyn,Crown Heights,Private room,100,3.0,279,2.69,301,2019-06-24
64277,311286,Brooklyn,Bedford-Stuyvesant,Private room,70,4.0,18,0.22,189,2019-01-02
64314,314256,Brooklyn,Crown Heights,Private room,110,6.0,50,3.55,0,2019-05-26
64365,314582,Brooklyn,Crown Heights,Private room,60,2.0,227,2.27,287,2019-06-27
64707,7310,Manhattan,Little Italy,Entire home/apt,90,14.0,1,0.16,14,2019-01-02
64837,46978,Manhattan,East Village,Private room,68,2.0,203,1.96,86,2019-06-23
65019,317809,Manhattan,Upper West Side,Entire home/apt,115,2.0,210,2.1,261,2019-07-06
65268,319092,Brooklyn,Bedford-Stuyvesant,Private room,75,5.0,64,0.67,68,2019-01-05
65556,320422,Brooklyn,Williamsburg,Private room,60,3.0,0,0.0,0,
65562,320450,Manhattan,East Village,Entire home/apt,129,7.0,5,0.15,231,2019-01-03
65615,320761,Brooklyn,Williamsburg,Entire home/apt,130,10.0,49,0.48,152,2019-06-29
65660,320538,Brooklyn,Williamsburg,Entire home/apt,95,4.0,132,1.27,46,2019-07-07
65813,321756,Manhattan,Harlem,Private room,75,3.0,20,0.26,364,2019-01-02
65834,321934,Brooklyn,Park Slope,Entire home/apt,175,2.0,11,0.11,246,2013-05-02
66008,322884,Brooklyn,Carroll Gardens,Entire home/apt,190,3.0,51,0.57,288,2019-07-01
66026,322716,Brooklyn,Crown Heights,Private room,49,21.0,15,0.15,331,2019-06-30
66251,324460,Manhattan,East Village,Entire home/apt,212,3.0,67,1.31,51,2019-06-25
66275,314941,Manhattan,Lower East Side,Private room,95,1.0,109,1.11,364,2019-06-23
66451,325389,Brooklyn,Williamsburg,Entire home/apt,140,2.0,9,0.11,254,2019-02-16
66718,136227,Manhattan,Harlem,Entire home/apt,135,6.0,187,1.87,189,2019-06-23
66741,327673,Brooklyn,Park Slope,Entire home/apt,150,2.0,214,2.08,263,2019-06-23
66974,329436,Brooklyn,Gowanus,Entire home/apt,190,3.0,69,0.79,258,2019-07-01
67288,101597,Manhattan,East Harlem,Entire home/apt,124,28.0,22,0.26,103,2019-06-15
67299,330347,Brooklyn,Williamsburg,Entire home/apt,135,30.0,56,0.56,42,2019-05-06
67397,332189,Manhattan,Morningside Heights,Private room,122,3.0,93,0.93,246,2019-06-22
68099,323517,Manhattan,Upper West Side,Private room,109,1.0,104,1.05,364,2019-06-25
68305,338454,Manhattan,Harlem,Private room,85,30.0,64,0.68,318,2018-07-06
68403,240427,Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,3.0,127,1.25,72,2019-06-24
68735,342054,Manhattan,Upper West Side,Entire home/apt,195,11.0,30,0.32,249,2019-06-13
68765,282655,Brooklyn,Carroll Gardens,Entire home/apt,250,2.0,106,1.34,272,2019-06-27
68900,343250,Brooklyn,Greenpoint,Private room,125,3.0,6,0.1,325,2016-11-13
68974,281229,Manhattan,Little Italy,Entire home/apt,575,2.0,191,1.88,298,2019-06-20
